Date,"Close Price"
"2017-10-18 00:01:00",5594.68
"2017-10-18 00:02:00",5595.04
"2017-10-18 00:03:00",5596.67
"2017-10-18 00:04:00",5595.97
"2017-10-18 00:05:00",5588.32
"2017-10-18 00:06:00",5580.78
"2017-10-18 00:07:00",5573.61
"2017-10-18 00:08:00",5555.32
"2017-10-18 00:09:00",5541.2
"2017-10-18 00:10:00",5514.61
"2017-10-18 00:11:00",5509.42
"2017-10-18 00:12:00",5506.54
"2017-10-18 00:13:00",5513.91
"2017-10-18 00:14:00",5518.28
"2017-10-18 00:15:00",5523.06
"2017-10-18 00:16:00",5521.64
"2017-10-18 00:17:00",5525.5
"2017-10-18 00:18:00",5529.3
"2017-10-18 00:19:00",5530.65
"2017-10-18 00:20:00",5529.49
"2017-10-18 00:21:00",5526.63
"2017-10-18 00:22:00",5531.37
"2017-10-18 00:23:00",5534.13
"2017-10-18 00:24:00",5535.06
"2017-10-18 00:25:00",5521.01
"2017-10-18 00:26:00",5503.81
"2017-10-18 00:27:00",5497.41
"2017-10-18 00:28:00",5505.13
"2017-10-18 00:29:00",5514.82
"2017-10-18 00:30:00",5520.01
"2017-10-18 00:31:00",5517.85
"2017-10-18 00:32:00",5515.57
"2017-10-18 00:33:00",5517.83
"2017-10-18 00:34:00",5519.88
"2017-10-18 00:35:00",5522.19
"2017-10-18 00:36:00",5523.59
"2017-10-18 00:37:00",5526.29
"2017-10-18 00:38:00",5525.39
"2017-10-18 00:39:00",5520.09
"2017-10-18 00:40:00",5518.27
"2017-10-18 00:41:00",5520.89
"2017-10-18 00:42:00",5517.04
"2017-10-18 00:43:00",5518.04
"2017-10-18 00:44:00",5519.28
"2017-10-18 00:45:00",5519
"2017-10-18 00:46:00",5520.89
"2017-10-18 00:47:00",5522.98
"2017-10-18 00:48:00",5523.69
"2017-10-18 00:49:00",5525.92
"2017-10-18 00:50:00",5526.24
"2017-10-18 00:51:00",5524.9
"2017-10-18 00:52:00",5523.91
"2017-10-18 00:53:00",5522.33
"2017-10-18 00:54:00",5519.06
"2017-10-18 00:55:00",5519.94
"2017-10-18 00:56:00",5517.72
"2017-10-18 00:57:00",5515.57
"2017-10-18 00:58:00",5513.9
"2017-10-18 00:59:00",5515.28
"2017-10-18 01:00:00",5518.59
